영상제목,유튜버,카테고리
'의료 쇼핑 막아라' 본인 부담률 최대 90%까지 (2024.01.19/뉴스데스크/MBC), MBCNEWS ,게임
"[자막뉴스] ""무릎 꿇고 사죄해라"" 분노한 중국, 추격전에 대형폭발까지...",  YTN ,게임
[자막뉴스] '더 이상 못 버텨' 줄줄이 폐업…수도권까지 '직격탄' 직접 가보니 / JTBC News, JTBC News ,게임
"[자막뉴스] ""책임져라"" 분노한 사장님…퇴실 뒤 날아온 '폭탄' 청구서 / JTBC News", JTBC News ,게임
[자막뉴스] 우크라이나 분노의 공격...피로 뒤덮인 참혹한 현장 / YTN,  YTN ,게임
"[자막뉴스] ""채상병 참배하고 가주십시오!""..한동훈 향해 외친 '군복 남성' (2024.01.03/MBC뉴스)", MBCNEWS ,게임
"[단독] 강남 성형외과에 '분통'…""근육 썩고 사경 헤맸다"" / SBS 8뉴스", SBS 뉴스 ,게임
[자막뉴스] 제자리서 '빙글빙글'...탄성 터져나온 현대차 '크랩주행' / YTN,  YTN ,게임
"'압구정 롤스로이스 뺑소니 사망'…가해 운전자, 1심 징역 20년 [이슈PLAY] / JTBC News", JTBC News ,게임
예산시장 흥행 이어질까? [리부팅 지방시대] / 연합뉴스TV (YonhapnewsTV), 연합뉴스TV ,게임
"[자막뉴스] 챗GPT 아버지가 날린 경고...""높아진 위험 수위, 더 높은 수준으로 대비해야"" / YTN",  YTN ,게임
"배현진 국민의힘 의원, 서울 강남 거리에서 피습...""돌로 머리 가격"" [이슈PLAY] / JTBC News", JTBC News ,게임
"[오늘 이 뉴스] 무임승차 폐지에 발끈한 노인회 ""망나니 짓거리"" ""피드백 감사"" (2024.01.18/MBC뉴스)", MBCNEWS ,게임
"[자막뉴스] 일본, 달 착륙하긴 했는데 어떻게 이런 문제가?! / KBS 2024.01.21.", KBS News ,게임
"‘자객 논란’ 친명계 인사들, 검증위 잇단 통과 | 뉴스TOP 10", 채널A 뉴스TOP10 ,게임
[뉴스라이브] 총선 앞두고 윤석열-한동훈 '정면충돌'...이용호에게 듣는다 / YTN,  YTN ,게임
"강남도 신촌도 '텅텅'...""들어가고 싶어도 못 가"" / SBS 8뉴스", SBS 뉴스 ,게임
"[자막뉴스] 아무리 말려도 ""싫어"" ""안 갈래""…이들이 혹한보다 두려운 건 / JTBC News", JTBC News ,게임
피부에 닿기만 해도…'사체 둥둥' 공포의 푸른 하천 / SBS 8뉴스, SBS 뉴스 ,게임
"""다 사기꾼들"" 부글부글…인건비 아끼려다 '폭탄' (자막뉴스) / SBS", SBS 뉴스 ,게임
"""전기 콘센트 막았더니""…'이것' 들고 나타난 카공족 / SBS / 오클릭", SBS 뉴스 ,게임
"""이게 1만 5천 원이에요?""…한 달 지나 다시 가봤다  / SBS 8뉴스", SBS 뉴스 ,게임
"[뉴스 '꾹'] 장원영, 유튜버 ‘탈덕수용소’에 ‘1억 배상’ 승소..“끝까지 간다” (2024.01.17/MBC뉴스)", MBCNEWS ,게임
"[자막뉴스] ""동성애자에 겨우..."" 전 세계가 경악한 프랑스 상황 / YTN",  YTN ,게임
"""설마, 설마 했는데""…금값 되자 사라진 딸기 / SBS 8뉴스", SBS 뉴스 ,게임
"한동훈 ""사퇴 요구 거절""‥윤 대통령, 일정 취소 - [LIVE] MBC 뉴스데스크 2024년 01월 22일", MBCNEWS ,게임
[자막뉴스] 10대 남녀 모여 희희낙락...'백색 가루'에 주차장 초토화 / YTN,  YTN ,게임
"[단독] 북 도발에 K9 대응사격 해병들…""두려움 없이 믿고 쐈다"" / SBS / #D리포트", SBS 뉴스 ,게임
"이선균 사망 하루 전, 도망 갔던 협박 여성 결국…#뉴스다 / JTBC News", JTBC News ,게임
"""먹는 것도 아껴 떠나요""…'보복 여행'이 대세 / SBS 8뉴스", SBS 뉴스 ,게임
"[문화연예 플러스] 김수미 모자, 횡령 혐의로 피소 (2024.01.23/뉴스투데이/MBC)", MBCNEWS ,게임
"[뉴스 '꾹'] ""제발 문 좀.."" 다급히 요청했지만..'스파이더맨' 68층 추락사   (2023.08.01/MBC뉴스)", MBCNEWS ,게임
"김건희 여사, ‘동갑내기’ 스페인 왕비 만나 한 말은?/ 채널A #Shorts", 채널A 뉴스 ,게임
김정은 “초토화” 위협하는데…이재명은 “우리 북한” | 뉴스TOP 10, 채널A 뉴스TOP10 ,게임
"[자막뉴스] ""소주 22병? 수영하다 익사?"" '이은해 같네..' 촉이 온 해경 (2024.01.17/MBC뉴스)", MBCNEWS ,게임
쥐 떼에 습격당한 우크라 전장‥'참혹한 참호전' (2024.01.22/뉴스데스크/MBC), MBCNEWS ,게임
"[단독]한동훈, 사퇴 거부…“할 일 하겠다” | 뉴스A", 채널A 뉴스 ,게임
"[오늘 이 뉴스] '노인 무임승차 폐지' 후폭풍 ""정책 수정?"" 이준석에게 묻자.. (2024.01.19/MBC뉴스)", MBCNEWS ,게임
[자막뉴스] 중국에 부는 '피바람' 공포...적나라하게 공개된 추악함? / YTN,  YTN ,게임
"[오늘 이 뉴스] ""명품백 사과해야"" 당내 부글..작심한 윤재옥 대답은? (2024.01.18/MBC뉴스)", MBCNEWS ,게임
"'이준석 대표' 신당 출범..""사회개혁 이끌겠다"" - [풀영상] MBC 뉴스데스크 2024년 1월 20일", MBCNEWS ,게임
[자막뉴스] 병원을 그냥 지나친 구급차…수상해 뒤따라가 보니 '헉' / KBS 2024.01.10., KBS News ,게임
"[자막뉴스] ""갑자기 이선균·GD 튀어나와"" 심경 밝힌 마약 최초 제보자 (2024.01.17/MBC뉴스)", MBCNEWS ,게임
"[자막뉴스] ""이러다 '나치' 부활할 것""...독일이 발칵 뒤집혔다 / YTN",  YTN ,게임
"""내 남편 돌려보내달라""…푸틴 찾아간 아내들 / SBS / 글로벌D리포트", SBS 뉴스 ,게임
갑자기 찾아온 건물주…펑펑 운 호프집 사장 [잇슈 키워드] / KBS  2024.01.17., KBS News ,게임
"[자막뉴스] 20대 군인, 알던 여중생을 10차례 성폭행한데다... / KBS 2023.01.19.", KBS News ,게임
[자막뉴스] 병장-부사관에 무슨 일이...발칵 뒤집힌 공군 / KBS 2024.01.05., KBS News ,게임
"[뉴스 '꾹'] 경찰서 분실물 찾은 20대 여성, 중년 경찰관 ""밥 먹자""에 경악 (2024.01.14/MBC뉴스)", MBCNEWS ,게임
"[자막뉴스] ""강진 또 올 수 있다"" 日 기상청 경고...건물 잔해에 깔린 사람도 / YTN",  YTN ,게임
"""이게 공정한 건가?""…'벌금 3천만 원' 사장님 분노 / SBS / 오클릭", SBS 뉴스 ,게임
"뉴질랜드 하원의원, 마오리 언어 탄압에 강력 반발..의회 가득 울려퍼진 하카 [디지털리포트] / YTN",  YTN ,게임
"'함께' 외쳤지만 ""골든타임은 지났다""...개혁신당 초대 당대표 이준석, 창당 깃발 흔들며 제 3지대 주도권 선점? - [핫이슈PLAY] MBC뉴스 2024년 1월 20일", MBCNEWS ,게임
[뉴스쏙] 김정은 협박 속 美핵항모 출격…한미일 역대 최대 해상훈련 / 연합뉴스TV (YonhapnewsTV), 연합뉴스TV ,게임
대통령 현장 구경하려고 오셨어요?... 그냥 뉴스로 보시지    #서천시장 #화재 #윤석열 #한동훈, OBS뉴스 ,게임
재난 영화 따로 없네…북미 강타한 '북극 한파' / SBS / 모아보는 뉴스, SBS 뉴스 ,게임
"숏폼 중독, 일상을 무너뜨리다 (뉴스토리) / SBS", SBS 뉴스 ,게임
모든 것이 마비된 영국 현재 상황…착륙 성공하자 쏟아진 '환호' / SBS 8뉴스, SBS 뉴스 ,게임
한번 시작되면 확 번진다...주민들 전부 '조마조마' (자막뉴스) / SBS, SBS 뉴스 ,게임
"민주당, ‘李 피습 실언 논란’ 김한규에 “엄중 경고” | 뉴스TOP 10", 채널A 뉴스TOP10 ,게임
[자막뉴스] 수도권도 전멸...억장 무너진 부모 / YTN,  YTN ,게임
김정은 “초토화” 위협하는데…이재명은 “우리 북한” | 뉴스TOP 10, 채널A 뉴스TOP10 ,게임
[자막뉴스] 뼈가 시린 '추위'...'혹한 도시' 모스크바도 서울보다 따뜻 / YTN,  YTN ,게임
"[단독] 북 도발에 K9 대응사격 해병들…""두려움 없이 믿고 쐈다"" / SBS / #D리포트", SBS 뉴스 ,게임
모두가 힘든 고물가 시대..벼량 끝 생존전략 (뉴스토리) / SBS, SBS 뉴스 ,게임
"한동훈, 대통령실 사퇴 요구 거절 후 첫 인터뷰  #shorts / 연합뉴스TV (YonhapnewsTV)", 연합뉴스TV ,게임
"[한칼토론] 한동훈vs윤석열 강대강 대치? 승자는 이미 정해졌다?  명분,권한,시간 때문?        김건희 명품백 사과, 사천 논란", CBS 김현정의 뉴스쇼 ,게임
"[자막뉴스] ""형! 나야~ '픽업'하러 오지?"" '이건 장난전화 아냐' 112의 촉 (MBC뉴스)", MBCNEWS ,게임
"[자막뉴스] ""낳을 엄두가 안 나요""...착잡한 대한민국 부모들 / YTN",  YTN ,게임
"""싹 다 취소하고 환불""…분노한 가수들 움직인다 (자막뉴스) / SBS", SBS 뉴스 ,게임
"미국, 북극 한파 가고 이번엔 폭우…3천만 명 위협 [굿모닝 MBN]", MBN News ,게임
"[자막뉴스] ""아빠, 집엔 오지 마"" 하던 딸..숨진 뒤 드러난 '사위 정체' (MBC뉴스)", MBCNEWS ,게임
'신당' 천하람 '친박' 유영하···대구·경북에서 통할까? | 대구MBC뉴스, 대구MBC뉴스 ,게임
[자막뉴스] 젊은이들 단체로 '우르르'...한밤중 인천 골목 아수라장 / YTN,  YTN ,게임
"""퇴사까지 고민했다""…분노 부른 구내식당 메뉴 / SBS / 뉴스딱", SBS 뉴스 ,게임
"술 안 마시는 한동훈, 호텔 로비서 1시간 기다렸지만… | 뉴스TOP 10", 채널A 뉴스TOP10 ,게임
[자막뉴스] 사실상 전쟁 상황...에콰도르 무법 사태 계속 / YTN,  YTN ,게임
겨울철 노로바이러스 역대급 확산…백신 없는데 어떻게 예방? / JTBC 뉴스룸, JTBC News ,게임
"대통령 행사서 끌려나간 국회의원‥""국정기조 바꾸라고 했을 뿐"" - [LIVE] MBC 뉴스데스크 2024년 01월 18일", MBCNEWS ,게임
[풀영상] 뉴스광장 : 서천 전통시장 화재…한때 주민 대피령 - 2024년 1월 23일(화) / KBS, KBS News ,게임
"""대통령 되는 것 막으려고""‥'단독 범행' 결론 - [LIVE] MBC 뉴스데스크 2024년 01월 10일", MBCNEWS ,게임
MBN 뉴스센터 [다시보기] 강릉에 '44cm 폭설'…동계 청소년올림픽도 비상 - 2024.1.21 방송, MBN News ,게임
윤 대통령-한동훈 갈등설 후 첫 만남..현장 분위기는? #shorts / 연합뉴스TV (YonhapnewsTV), 연합뉴스TV ,게임
월요일 강추위 찾아온다…출근길 서울 영하 10도로 '뚝' / SBS 8뉴스, SBS 뉴스 ,게임
"역대급 세수 펑크에 '마통' 117조 쓴 정부, 이자만 1500억..급기야 한국은행 '제동' - [핫이슈PLAY] MBC뉴스 2024년 1월 18일", MBCNEWS ,게임
윤심 거스르면 바로 교체? 이준석·김기현 이어 한동훈도...｜지금 이 뉴스, JTBC News ,게임
"김수미 모자, 횡령 혐의로 피소 #Shorts (MBC뉴스)", MBCNEWS ,게임
대통령 현장 구경하려고 오셨어요?... 그냥 뉴스로 보시지    #서천시장 #화재 #윤석열 #한동훈, OBS뉴스 ,게임
"출산 앞둔 수백 명 '발칵'…""이게 맞아?"" 여론 부글부글 (자막뉴스) / SBS", SBS 뉴스 ,게임
"""북한, 서해상 순항미사일 발사""‥ 열흘 만에 도발 - [LIVE] MBC 뉴스외전 2024년 01월 24일", MBCNEWS ,게임
"[자막뉴스] 아버지가 돌아가신 날인데 ""나와"" 죽도록 맞은 아들 / KBS 2024.01.07.", KBS News ,게임
[단독]한겨울 골목길서 성폭행 뒤 방치 | 뉴스A, 채널A 뉴스 ,게임
"[뉴스앤이슈] 尹-韓, 초유의 충돌 사태...'봉합' 나서나? / YTN",  YTN ,게임
[자막뉴스] 한 조종사가 눈앞에서 목격한 '미확인 물체'…이례적 결과 나왔다 / JTBC News, JTBC News ,게임
"""버는 족족 다 나가요""…""못 버텨"" 무너진 2030 / SBS / 모아보는 뉴스", SBS 뉴스 ,게임
"한동훈 ""사퇴 없다""‥윤 대통령, 일정 취소 (2024.01.22/12MBC뉴스)", MBCNEWS ,게임
"[자막뉴스] '사생활 통화 공개' 가세연 후폭풍 ""천벌 받을 것""..""죗값 치러야"" (2023.12.28/MBC뉴스)", MBCNEWS ,게임
병실 옮기자 드러난 사실…CCTV 본 가족들 '충격' / SBS 8뉴스, SBS 뉴스 ,게임
[자막뉴스] 을씨년스런 분위기...줄폐업에 자영업자들 '곡소리' / YTN,  YTN ,게임
"북한 떠나는 2030·엘리트…김정은 의도, 여기에 있다? / SBS 8뉴스", SBS 뉴스 ,게임
"北 200발 포격 도발에…軍, 400발로 맞대응 | 뉴스A", 채널A 뉴스 ,게임
"[자막뉴스] ""욕설 터지고 난리도 아니었어요"" '악몽의 1교시' 결국 법정으로 (2023.12.18/MBC뉴스)", MBCNEWS ,게임
[자막뉴스] 백화점도 처절한 생존 경쟁...유통업계에 닥친 '공습경보' / YTN,  YTN ,게임
"60억 소송당한 아파트 주민들…""전국적인 위기"" (자막뉴스) / SBS", SBS 뉴스 ,게임
"""더는 견디지 못할 것""...지친 우크라군의 호소 [지금이뉴스] / YTN",  YTN ,게임
[뉴스 ‘꾹’] ‘이것은 착각인가 절도인가’..생수병 가져간 '황당' 옆집女 (2024.01.11/MBC뉴스), MBCNEWS ,게임
인류 첫 테트리스 끝판 정복…13세 美 소년 | 뉴스A, 채널A 뉴스 ,게임
‘5천만 원 육아수당’ 통했다…출산율 ‘쑥’ | 뉴스A, 채널A 뉴스 ,게임
"[오늘 이 뉴스] '배달원 사망' 음주 뺑소니 의사 '징역 6년' 뒤집고 ""집행유예"" (2024.01.12/MBC뉴스)", MBCNEWS ,게임
"""확 풀어버리겠다"" ""총선용 포퓰리즘"", 기대감에 벌써 '들썩'? 부작용 우려도.. - [핫이슈PLAY] MBC뉴스 2024년 1월 14일", MBCNEWS ,게임
[자막뉴스] '죽음의 땅' 되어버린 미국...진짜 공포는 아직 오지도 않았다 / YTN,  YTN ,게임
문틈 사이 '스르륵' 벽 뜯자 '우글우글'…전재산 털어 산 집이 '뱀 소굴'이었다 (현장영상) / SBS, SBS 뉴스 ,게임
[자막뉴스] 공개하자마자 '대위기'…예능판 오징어게임 논란 커지는 이유 / JTBC News, JTBC News ,게임
"[자막뉴스] 인간 대신 AI로 ""2백명 해고""  믿기지 않는 국민은행 실제 상황 / KBS 2023.12.16.", KBS News ,게임
"[현장영상] ""왜 명품백 전달했냐면.."" 최재영 목사가 직접 밝힌 사건의 전말 / JTBC News", JTBC News ,게임
"[자막뉴스] ""0.001㎜라도 침범한다면..."" 차원 다른 北 협박에 초긴장 상태 / YTN",  YTN ,게임
[자막뉴스] '어 연두색 번호판이다'...결국 엇갈린 입장 / YTN,  YTN ,게임
"사적 만남으로 받은 물건이 대통령기록물?‥""사과 아닌 수사 대상"" (2024.01.23/뉴스데스크/MBC)", MBCNEWS ,게임
"북한 김정은, 당장 쳐들어올 듯 하더니...연설문엔 ""경제·경제·경제""  / SBS / 딥빽", SBS 뉴스 ,게임
"'63㎝' 때문에 입주 불허...김포 아파트 건설사, 결국 [지금이뉴스] / YTN",  YTN ,게임
"이라크 다음날 파키스탄 '공습'..이란 '직접 군사행동'에 ""새 확전 국면"" (이슈라이브) / SBS", SBS 뉴스 ,게임
대남용 평양방송도 중단…김정은 지시에 '일사천리' / SBS, SBS 뉴스 ,게임
"美 ""후티가 순항미사일 발사해 격추""..헤즈볼라 ""미 후티 공격으로,  홍해가 전쟁터로""..이란도 '부글' - [핫이슈PLAY] MBC뉴스 2024년 1월 15일", MBCNEWS ,게임
"진보당 강성희, 尹 경호원에 사지 들려 쫓겨났다 | 뉴스TOP 10", 채널A 뉴스TOP10 ,게임
"[자막뉴스] 北 김정은 ""전쟁 피할 생각 전혀 없다"" 위협...한반도 긴장 고조 / YTN",  YTN ,게임
[자막뉴스] 어느 날 산에 오르던 주민…'길이 이게 뭐야!' 바로 신고 / KBS 2023.12.24., KBS News ,게임
[뉴스모아] '비밀' 대통령 건강까지 이례적 공개…한동훈 vs 대통령실 '대혼란' / YTN,  YTN ,게임
"[자막뉴스] ""담배는 밖에서 좀"" 부탁한 딸을 맥주병으로 '퍽'..경악한 엄마 (2023.12.26/MBC뉴스)", MBCNEWS ,게임
"""의사가 마취 후 성폭행‥병원 가기 두려워"" (2024.01.05/뉴스투데이/MBC)", MBCNEWS ,게임
갑자기 태도 바꾼 중국...사뭇 달라진 기류  / SBS 8뉴스, SBS 뉴스 ,게임
"'더글로리' 임지연, 뉴스룸 기상캐스터 변신 (연진이 ver.) #JTBC #Shorts", JTBC News ,게임
'이곳에 갇혀 죽을 날만 기다립니다' 북한 내부 주민과의 BBC 비밀 인터뷰 - BBC News 코리아, BBC News 코리아 ,게임
대형마트 공휴일 대신 평일 의무 휴업…단통법도 폐지 / KBS  2024.01.22., KBS News ,게임
"[속보] 갈등 봉합? 윤석열 대통령-한동훈 비대위원장, 충남 서천 화재 현장 함께 방문 / SBS", SBS 뉴스 ,게임
"""저 퇴사합니다""…회사 파일 4,216개 지운 30대 직원, 최후는? / SBS / 뉴블더", SBS 뉴스 ,게임
"이재명·이낙연 회동 결렬..민주당, 결국 분열 수순? - [현장PLAY] MBC뉴스 2023년 12월 30일", MBCNEWS ,게임
"""일반 카페는 못 들어와요""…돈 쓸 사람 많은데 '텅텅' (자막뉴스) / SBS", SBS 뉴스 ,게임
"""저거 중국 거 아냐?""…인천시 홍보 영상 확인해 보니 / SBS 8뉴스", SBS 뉴스 ,게임
달리던 트럭 들이받고 휘청였던 코뿔소…3일 뒤 공개된 영상 / 연합뉴스 (Yonhapnews), 연합뉴스 Yonhapnews ,게임
"〈시그널Pick-이상민〉 ""김경율 그만 두면 입 틀어막는 것""  │2024년 1월 24일 라디오쇼 정치시그널", 채널A 뉴스 ,게임
[자막뉴스] 등산 후 식사하려던 부부…한 청년 만난 뒤 '제대로 실망' / KBS 2023.12.06., KBS News ,게임
"[자막뉴스] ""인내심 바닥""...이스라엘-美, 관계 파탄 위기 / YTN",  YTN ,게임
"[뉴스A라이브] ""한동훈은 물고기에요"" / #뉴스A라이브 #채널A #shorts", 채널A 뉴스 ,게임
"갑자기 열린 차문에 ‘쾅’…자전거 운전자, 버스에 참변 | 뉴스A", 채널A 뉴스 ,게임
"[자막뉴스] 합정역 출근길 '쾅!' 전기택시..""무슨 일?"" 운전자에게 물었더니.. (2024.01.18/MBC뉴스)", MBCNEWS ,게임
"[자막뉴스] ""오늘따라 바다냄새가 강했어요"" 해운대 밤바다 산책하다 '경악' (부산MBC 뉴스)", MBCNEWS ,게임
"한류에 '비빔밥' 위상 높아지자…중국, 또 ""내 거"" 시전 / SBS / 뉴스딱", SBS 뉴스 ,게임
"하루 13시간, 4일 일해도?…바뀐 근로 기준에 '반발' / SBS 8뉴스", SBS 뉴스 ,게임
대통령실 “김경율 출마하면 비대위원 사퇴해야” 압박 | 뉴스A, 채널A 뉴스 ,게임
"윤석열 대통령 순방 동행 취재단에 공개 안 된 현장, 김건희 여사의 손짓은? #shorts #사사건건 #kbs시사", KBS시사 ,게임
"[톺뉴스] 텀블러 열풍, 환경에는 글쎄… #shorts", 연합뉴스 Yonhapnews ,게임
[단독]일산서 서울까지…흉기든 ‘10대’들의 패싸움 | 뉴스A, 채널A 뉴스 ,게임
마트로 헐레벌떡 몰려와…영화 '투모로우' 닥친 미국 상황 #뉴스다 / JTBC News, JTBC News ,게임
바닷물 사라지고 회색빛 지반으로…노토반도 어민들 “어업 포기할 상황” / KBS  2024.01.22., KBS News ,게임
"장윤선 ""특검에다 이태원도 거부?"" [김혜영의 뉴스공감]", CPBC 뉴스 ,게임
"미국, 북극한파 영향에 “한 주 새 89명 사망” / KBS  2024.01.22.", KBS News ,게임
"탕후루 옆 탕후루 '상도덕' 논란 일파만파...유튜버 ""오픈 일단 중지""｜뜨는 이슈", JTBC News ,게임
"""빨려 들어가"" 승객들 '패닉'…인천공항에서 생긴 일 (자막뉴스) / SBS", SBS 뉴스 ,게임
"[오늘 이 뉴스] ""김여사, 주변에 메시지 보냈다""..'사과하면 오히려 총선 불리' (2024.01.23/MBC뉴스)", MBCNEWS ,게임
"[뉴스 '꾹'] ""초밥이 차가워요"" 환불 요청 알고 보니 ""회만 쏙쏙..분통"" (2024.01.15/MBC뉴스)", MBCNEWS ,게임
'이태원 참사' 1년 2개월 만에‥서울경찰청장 기소 - [LIVE] MBC 뉴스투데이 2024년 1월 20일, MBCNEWS ,게임
"인상 팍 쓴 김정은 ""대한민국 괴멸시키고 미국엔 상상 못한 재앙과 패배를""…'통일·화해' 빡빡 지운다 (현장영상) / SBS", SBS 뉴스 ,게임
"""눈 하얗게 변하더니…"" 중국, 치사율 100% 변종 코로나 개발 (자막뉴스) / SBS", SBS 뉴스 ,게임
"한동훈 ""대통령실 사퇴 요구 거절, 내 임기는 총선 이후까지""…'김건희 여사 리스크' 입장 다시 묻자 (현장영상) / SBS", SBS 뉴스 ,게임
[자막뉴스] '결혼 3주 만에 남편 살해' 20대 여성 이번엔 구치소에서.. (2023.05.31/MBC뉴스), MBCNEWS ,게임
"[투톺뉴스] '노키즈·노시니어'…노○○존, 어디까지? #shorts", 연합뉴스 Yonhapnews ,게임
[자막뉴스] 한때 '성지' 용산 전자상가 근황...물과 전기도 끊겼다 / YTN,  YTN ,게임
'피습' 배현진 두피 봉합 ...미성년 피의자 체포 조사중 [이슈PLAY] / JTBC News, JTBC News ,게임
"'탈덕수용소' 1억은 시작일 뿐, ""장원영 해냈다"" 쏟아진 찬사 [뉴스.zip/MBC뉴스]", MBCNEWS ,게임
"""오래 안 걸린다더니…"" 무릎 수술받은 대학생 돌연 사망 / SBS 8뉴스", SBS 뉴스 ,게임
"[자막뉴스] 어딜 봐도 외국인뿐…""여기 한국 대학교 맞아요?"" / KBS 2023.04.02.", KBS News ,게임
"'이준석 대표' 신당 출범..""사회개혁 이끌겠다"" - [LIVE] MBC 뉴스데스크 2024년 1월 20일", MBCNEWS ,게임
입국 막은 中에…메시 “대만이 중국 아냐” | 뉴스A, 채널A 뉴스 ,게임
“차 타세요” 9초 뒤 쓰나미…운전자 촉이 생사 갈랐다 | 뉴스A, 채널A 뉴스 ,게임
[자막뉴스] 혹시 자주 먹었나요...냉동볶음밥의 배신 / YTN,  YTN ,게임
[현장의재구성] 북한 유튜버가 공개한 '평양의 삶'…근데 뭔가 이상하다고? / 연합뉴스TV (YonhapnewsTV), 연합뉴스TV ,게임
"[오늘 이 뉴스] ""국힘 후보로 표 달라 할 수 없어""..직격탄 던지며 '불출마' (2024.01.08/MBC뉴스)", MBCNEWS ,게임
"""김건희 여사, '디올백 논란 사과 불가' 지인에 메시지""｜지금 이 뉴스", JTBC News ,게임
"""아무도 찾지 않아요""…한국의 절반이 사라진다 / SBS / 모아보는 뉴스", SBS 뉴스 ,게임
[자막뉴스] '소름 쫙' AI에 대해 질문했더니...로봇의 섬뜩한 답변 / YTN,  YTN ,게임
"[자막뉴스] ""한국 핵무장, 전 세계 소프트파워 파괴"" 강력한 경고 / YTN",  YTN ,게임
미 해군 항공모함 더 온다...동아시아 향해 오는 '71번' / SBS 8뉴스, SBS 뉴스 ,게임
[자막뉴스] '더 이상 못 버텨' 줄줄이 폐업…수도권까지 '직격탄' 직접 가보니 / JTBC News, JTBC News ,게임
[자막뉴스] 신생아 안은 엄마와 경찰관.. 그런데 경찰 왼팔에 뭔가.. (2023.06.04/MBC뉴스), MBCNEWS ,게임
"[자막뉴스] ""미 전역서 급증하는 중""…실종 4일 만에 발견된 유학생 알고 보니 / JTBC News", JTBC News ,게임
"[오늘 아침 신문] 사표 수리 안됐는데 줄줄이 ""총선 출마""‥금배지에 눈먼 검사들 (2024.01.01/뉴스투데이/MBC)", MBCNEWS ,게임
"김수미 모자, 횡령 혐의로 피소 #Shorts (MBC뉴스)", MBCNEWS ,게임
[자막뉴스] 전국민 분노케한 대학병원 간호사의 충격 SNS…범죄 정황까지 나왔다 / JTBC News, JTBC News ,게임
"""독립? 전쟁이야"" 말빨 안 먹히자..갑자기? / SBS / 모아보는 뉴스", SBS 뉴스 ,게임
[속보] 벌에 쏘인 강아지 진 씨 숨 쉰 채 발견 | SBS 발뉴스 (2023.04.14) #애니멀봐 #shorts, SBS TV동물농장x애니멀봐 ,게임
[자막뉴스] 경찰이 수사중인 40대 '성폭행범'..찾아가 봤더니 집에 있었다 (MBC뉴스), MBCNEWS ,게임
[자막뉴스] 마트 문밖으로 여성을 '질질'.. 시의원 '스토킹 폭력' 발칵 (2024.01.15/MBC뉴스), MBCNEWS ,게임
"[자막뉴스] 밤하늘 보다 ""Oh My God!"" 또다시 '그 항공기' (MBC뉴스)", MBCNEWS ,게임
[자막뉴스] 다급한 전화 받고 달려나간 딸…현장은 그야말로 참혹했다 / JTBC News, JTBC News ,게임
"[자막뉴스] ""다 나가고 혼자 남았습니다""…곳곳서 터진 비명, 실상은 달랐다 / JTBC News", JTBC News ,게임
"Nine Muses - News, 나인뮤지스 - 뉴스, Music Core 20120121", MBCkpop ,게임
"[자막뉴스] 학교 다녀오면 ""라면 좀.."" '왜 그러지?' 했는데.. (2022.04.29/MBC뉴스)", MBCNEWS ,게임
"""포기는 없다""…폭우 속 '투혼의 레이스' 감동 / 연합뉴스 (Yonhapnews)", 연합뉴스 Yonhapnews ,게임
[스브스뉴스] 박근혜 논리 오지던 시절, 스브스뉴스 SUBUSUNEWS ,게임
[오늘무슨일] 한동훈 “대통령에 깊은 존중·신뢰...지금보다 더 최선 다 하겠다”, 조선일보 ,게임
"'더글로리' 임지연, 뉴스룸 기상캐스터 변신 (연진이 ver.) #JTBC #Shorts", JTBC News ,게임
"[자막뉴스] ""정신병 행동까지 보인다""…이곳은 지옥이었습니다 / JTBC News", JTBC News ,게임
[자막뉴스] 어딘가 이상하더라니 역시나…한국이 전 세계보다 2배 빨랐다 / JTBC News, JTBC News ,게임
"이재명, 부산에서 흉기 피습‥""경정맥 손상"" 긴급 수술 - [LIVE] MBC 뉴스데스크 2024년 01월 02일", MBCNEWS ,게임
[자막뉴스] 알몸으로 머리 말리던 여성…거울 쳐다보다 순간 '으악' / KBS 2023.12.21., KBS News ,게임
"""골프장이 웬말이냐""..지역 소멸 대책 반발 #Shorts (MBC뉴스)", MBCNEWS ,게임
"'왜 너는 나를 만나서' 윤석열·한동훈, 20년 인연의 결말은?｜백브RE핑", JTBC News ,게임
"""'서울 1분대' 타격 가능""…한미일 요격망 무력화 시킬까? [MBN 뉴스7]", MBN News ,게임
[자막뉴스] SNS에 확산하는 '백두산 괴담'...기상청이 내놓은 공식 의견 / YTN,  YTN ,게임
"[자막뉴스] ""국민 분노 극에 달해...尹 정권 끝장낼 것""...사표 낸 '친문' / YTN",  YTN ,게임
이태원특별법 '거부권' 건의‥유가족 삭발 시위 - [LIVE] MBC 뉴스투데이 2024년 1월 19일, MBCNEWS ,게임
"""도주 우려 없다""더니‥초등생 성추행 혐의자 본국으로 (2024.01.19/뉴스투데이/MBC)", MBCNEWS ,게임
녹록지 않은 현실…유튜브 떠나는 유튜버들  / SBS / 실시간 e뉴스, SBS 뉴스 ,게임
집이야 은행이야…돈더미 끝판왕 정체는 #shorts, 연합뉴스 Yonhapnews ,게임
"[다시보기] 뉴스룸｜사과 압박 속 사라진 김건희 여사…'명품백 의혹'에 한동훈 ""국민 눈높이"" 강조 (24.1.19) / JTBC News", JTBC News ,게임
[자막뉴스] '누구세요'...택배 기사가 문 열자 초토화 된 가게 / YTN,  YTN ,게임
